Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
30/08/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
31/08/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
01/09/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
02/09/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
03/09/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
04/09/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
05/09/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
06/09/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
07/09/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
08/09/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
09/09/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
10/09/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
11/09/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
12/09/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
13/09/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
14/09/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
15/09/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
16/09/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
17/09/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
18/09/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
19/09/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
20/09/2019,2.55,0.79,5.26,2.57,0.69,0.54,0.52,5.55,18.47
21/09/2019,2.48,0.79,4.73,2.20,0.61,0.53,0.55,5.59,17.47
22/09/2019,2.42,0.71,3.52,1.90,0.50,0.49,0.45,4.75,14.72
23/09/2019,2.50,0.79,4.57,2.40,0.69,0.53,0.57,5.67,17.72
24/09/2019,2.51,0.80,5.27,2.66,0.69,0.53,0.58,5.74,18.77
25/09/2019,2.51,0.72,5.35,2.68,0.69,0.53,0.58,6.07,19.13
26/09/2019,2.51,0.79,5.36,2.68,0.69,0.53,0.58,6.04,19.19
